,品名,厚度/mm,宽度/mm,长度/mm,kg/块,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
板材,卷板,1.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,1.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,1.8,1260,,,Q235B,,,,,,,,,,
板材,卷板,1.8,1500,,,Q235B,,,,,,,,,,
板材,卷板,2,1260,,,Q235B,,,,,,,,,,
板材,卷板,2,1500,,,Q235B,,,,,,,,,,
板材,卷板,2.35,1260,,,Q235B,,,,,,,,,,
板材,卷板,2.35,1500,,,Q235B,,,,,,,,,,
板材,卷板,2.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,2.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,3,1260,,,Q235B,,,,,,,,,,
板材,卷板,3,1500,,,Q235B,,,,,,,,,,
板材,卷板,3.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,3.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,3.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,3.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,4,1260,,,Q235B,,,,,,,,,,
板材,卷板,4,1500,,,Q235B,,,,,,,,,,
板材,卷板,4.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,4.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,4.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,4.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,5,1260,,,Q235B,,,,,,,,,,
板材,卷板,5,1500,,,Q235B,,,,,,,,,,
板材,卷板,5.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,5.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,5.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,5.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,6,1260,,,Q235B,,,,,,,,,,
板材,卷板,6,1500,,,Q235B,,,,,,,,,,
板材,卷板,6.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,6.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,6.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,6.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,7,1260,,,Q235B,,,,,,,,,,
板材,卷板,7,1500,,,Q235B,,,,,,,,,,
板材,卷板,7.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,7.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,7.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,7.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,8,1260,,,Q235B,,,,,,,,,,
板材,卷板,8,1500,,,Q235B,,,,,,,,,,
板材,卷板,8.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,8.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,9,1260,,,Q235B,,,,,,,,,,
板材,卷板,9,1500,,,Q235B,,,,,,,,,,
板材,卷板,9.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,9.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,9.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,9.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,10,1260,,,Q235B,,,,,,,,,,
板材,卷板,10,1500,,,Q235B,,,,,,,,,,
板材,卷板,10.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,10.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,10.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,10.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,11,1260,,,Q235B,,,,,,,,,,
板材,卷板,11,1500,,,Q235B,,,,,,,,,,
板材,卷板,11.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,11.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,11.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,11.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,12,1260,,,Q235B,,,,,,,,,,
板材,卷板,12,1500,,,Q235B,,,,,,,,,,
板材,卷板,12.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,12.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,12.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,12.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,13,1260,,,Q235B,,,,,,,,,,
板材,卷板,13,1500,,,Q235B,,,,,,,,,,
板材,卷板,13.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,13.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,13.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,13.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,14,1260,,,Q235B,,,,,,,,,,
板材,卷板,14,1500,,,Q235B,,,,,,,,,,
板材,卷板,14.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,14.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,14.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,14.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,15,1260,,,Q235B,,,,,,,,,,
板材,卷板,15,1500,,,Q235B,,,,,,,,,,
板材,卷板,15.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,15.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,15.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,15.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,16,1260,,,Q235B,,,,,,,,,,
板材,卷板,16,1500,,,Q235B,,,,,,,,,,
板材,卷板,16.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,16.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,16.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,16.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,17,1260,,,Q235B,,,,,,,,,,
板材,卷板,17,1500,,,Q235B,,,,,,,,,,
板材,卷板,17.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,17.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,17.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,17.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,18,1260,,,Q235B,,,,,,,,,,
板材,卷板,18,1500,,,Q235B,,,,,,,,,,
板材,卷板,18.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,18.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,18.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,18.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,19,1260,,,Q235B,,,,,,,,,,
板材,卷板,19,1500,,,Q235B,,,,,,,,,,
板材,卷板,19.5,1260,,,Q235B,,,,,,,,,,
板材,卷板,19.5,1500,,,Q235B,,,,,,,,,,
板材,卷板,19.75,1260,,,Q235B,,,,,,,,,,
板材,卷板,19.75,1500,,,Q235B,,,,,,,,,,
板材,卷板,20,1260,,,Q235B,,,,,,,,,,
板材,卷板,20,1500,,,Q235B,,,,,,,,,,
板材,卷板,1.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,1.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,1.8,1260,,,Q355B,,,,,,,,,,
板材,卷板,1.8,1500,,,Q355B,,,,,,,,,,
板材,卷板,2.0 ,1260,,,Q355B,,,,,,,,,,
板材,卷板,2.0 ,1500,,,Q355B,,,,,,,,,,
板材,卷板,2.35,1260,,,Q355B,,,,,,,,,,
板材,卷板,2.35,1500,,,Q355B,,,,,,,,,,
板材,卷板,2.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,2.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,3,1260,,,Q355B,,,,,,,,,,
板材,卷板,3,1500,,,Q355B,,,,,,,,,,
板材,卷板,3.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,3.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,3.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,3.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,4,1260,,,Q355B,,,,,,,,,,
板材,卷板,4,1500,,,Q355B,,,,,,,,,,
板材,卷板,4.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,4.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,4.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,4.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,5,1260,,,Q355B,,,,,,,,,,
板材,卷板,5,1500,,,Q355B,,,,,,,,,,
板材,卷板,5.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,5.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,5.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,5.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,6,1260,,,Q355B,,,,,,,,,,
板材,卷板,6,1500,,,Q355B,,,,,,,,,,
板材,卷板,6.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,6.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,6.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,6.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,7,1260,,,Q355B,,,,,,,,,,
板材,卷板,7,1500,,,Q355B,,,,,,,,,,
板材,卷板,7.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,7.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,7.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,7.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,8,1260,,,Q355B,,,,,,,,,,
板材,卷板,8,1500,,,Q355B,,,,,,,,,,
板材,卷板,8.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,8.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,9,1260,,,Q355B,,,,,,,,,,
板材,卷板,9,1500,,,Q355B,,,,,,,,,,
板材,卷板,9.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,9.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,9.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,9.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,10,1260,,,Q355B,,,,,,,,,,
板材,卷板,10,1500,,,Q355B,,,,,,,,,,
板材,卷板,10.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,10.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,10.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,10.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,11,1260,,,Q355B,,,,,,,,,,
板材,卷板,11,1500,,,Q355B,,,,,,,,,,
板材,卷板,11.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,11.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,11.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,11.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,12,1260,,,Q355B,,,,,,,,,,
板材,卷板,12,1500,,,Q355B,,,,,,,,,,
板材,卷板,12.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,12.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,12.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,12.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,13,1260,,,Q355B,,,,,,,,,,
板材,卷板,13,1500,,,Q355B,,,,,,,,,,
板材,卷板,13.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,13.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,13.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,13.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,14,1260,,,Q355B,,,,,,,,,,
板材,卷板,14,1500,,,Q355B,,,,,,,,,,
板材,卷板,14.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,14.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,14.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,14.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,15,1260,,,Q355B,,,,,,,,,,
板材,卷板,15,1500,,,Q355B,,,,,,,,,,
板材,卷板,15.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,15.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,15.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,15.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,16,1260,,,Q355B,,,,,,,,,,
板材,卷板,16,1500,,,Q355B,,,,,,,,,,
板材,卷板,16.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,16.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,16.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,16.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,17,1260,,,Q355B,,,,,,,,,,
板材,卷板,17,1500,,,Q355B,,,,,,,,,,
板材,卷板,17.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,17.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,17.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,17.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,18,1260,,,Q355B,,,,,,,,,,
板材,卷板,18,1500,,,Q355B,,,,,,,,,,
板材,卷板,18.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,18.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,18.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,18.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,19,1260,,,Q355B,,,,,,,,,,
板材,卷板,19,1500,,,Q355B,,,,,,,,,,
板材,卷板,19.5,1260,,,Q355B,,,,,,,,,,
板材,卷板,19.5,1500,,,Q355B,,,,,,,,,,
板材,卷板,19.75,1260,,,Q355B,,,,,,,,,,
板材,卷板,19.75,1500,,,Q355B,,,,,,,,,,
板材,卷板,20,1260,,,Q355B,,,,,,,,,,
板材,卷板,20,1500,,,Q355B,,,,,,,,,,
板材,开平板,1.5,1260,6000,89.02 ,Q235B,,,,,,,,,,
板材,开平板,1.5,1500,6000,105.98 ,Q235B,,,,,,,,,,
板材,开平板,1.8,1260,6000,106.82 ,Q235B,,,,,,,,,,
板材,开平板,1.8,1500,6000,127.17 ,Q235B,,,,,,,,,,
板材,开平板,2,1260,6000,118.69 ,Q235B,,,,,,,,,,
板材,开平板,2,1500,6000,141.30 ,Q235B,,,,,,,,,,
板材,开平板,2.35,1260,6000,139.46 ,Q235B,,,,,,,,,,
板材,开平板,2.35,1500,6000,166.03 ,Q235B,,,,,,,,,,
板材,开平板,2.75,1260,6000,163.20 ,Q235B,,,,,,,,,,
板材,开平板,2.75,1500,6000,194.29 ,Q235B,,,,,,,,,,
板材,开平板,3,1260,6000,178.04 ,Q235B,,,,,,,,,,
板材,开平板,3,1500,6000,211.95 ,Q235B,,,,,,,,,,
板材,开平板,3.5,1260,6000,207.71 ,Q235B,,,,,,,,,,
板材,开平板,3.5,1500,6000,247.28 ,Q235B,,,,,,,,,,
板材,开平板,3.75,1260,6000,222.55 ,Q235B,,,,,,,,,,
板材,开平板,3.75,1500,6000,264.94 ,Q235B,,,,,,,,,,
板材,开平板,4,1260,6000,237.38 ,Q235B,,,,,,,,,,
板材,开平板,4,1500,6000,282.60 ,Q235B,,,,,,,,,,
板材,开平板,4.5,1260,6000,267.06 ,Q235B,,,,,,,,,,
板材,开平板,4.5,1500,6000,317.93 ,Q235B,,,,,,,,,,
板材,开平板,4.75,1260,6000,281.89 ,Q235B,,,,,,,,,,
板材,开平板,4.75,1500,6000,335.59 ,Q235B,,,,,,,,,,
板材,开平板,5,1260,6000,296.73 ,Q235B,,,,,,,,,,
板材,开平板,5,1500,6000,353.25 ,Q235B,,,,,,,,,,
板材,开平板,5.5,1260,6000,326.40 ,Q235B,,,,,,,,,,
板材,开平板,5.5,1500,6000,388.58 ,Q235B,,,,,,,,,,
板材,开平板,5.75,1260,6000,341.24 ,Q235B,,,,,,,,,,
板材,开平板,5.75,1500,6000,406.24 ,Q235B,,,,,,,,,,
板材,开平板,6,1260,6000,356.08 ,Q235B,,,,,,,,,,
板材,开平板,6,1500,6000,423.90 ,Q235B,,,,,,,,,,
板材,开平板,6.5,1260,6000,385.75 ,Q235B,,,,,,,,,,
板材,开平板,6.5,1500,6000,459.23 ,Q235B,,,,,,,,,,
板材,开平板,6.75,1260,6000,400.59 ,Q235B,,,,,,,,,,
板材,开平板,6.75,1500,6000,476.89 ,Q235B,,,,,,,,,,
板材,开平板,7,1260,6000,415.42 ,Q235B,,,,,,,,,,
板材,开平板,7,1500,6000,494.55 ,Q235B,,,,,,,,,,
板材,开平板,7.5,1260,6000,445.10 ,Q235B,,,,,,,,,,
板材,开平板,7.5,1500,6000,529.88 ,Q235B,,,,,,,,,,
板材,开平板,7.75,1260,6000,459.93 ,Q235B,,,,,,,,,,
板材,开平板,7.75,1500,6000,547.54 ,Q235B,,,,,,,,,,
板材,开平板,8,1260,6000,474.77 ,Q235B,,,,,,,,,,
板材,开平板,8,1500,6000,565.20 ,Q235B,,,,,,,,,,
板材,开平板,8.75,1260,6000,519.28 ,Q235B,,,,,,,,,,
板材,开平板,8.75,1500,6000,618.19 ,Q235B,,,,,,,,,,
板材,开平板,9,1260,6000,534.11 ,Q235B,,,,,,,,,,
板材,开平板,9,1500,6000,635.85 ,Q235B,,,,,,,,,,
板材,开平板,9.5,1260,6000,563.79 ,Q235B,,,,,,,,,,
板材,开平板,9.5,1500,6000,671.18 ,Q235B,,,,,,,,,,
板材,开平板,9.75,1260,6000,578.62 ,Q235B,,,,,,,,,,
板材,开平板,9.75,1500,6000,688.84 ,Q235B,,,,,,,,,,
板材,开平板,10,1260,6000,593.46 ,Q235B,,,,,,,,,,
板材,开平板,10,1500,6000,706.50 ,Q235B,,,,,,,,,,
板材,开平板,10.5,1260,6000,623.13 ,Q235B,,,,,,,,,,
板材,开平板,10.5,1500,6000,741.83 ,Q235B,,,,,,,,,,
板材,开平板,10.75,1260,6000,637.97 ,Q235B,,,,,,,,,,
板材,开平板,10.75,1500,6000,759.49 ,Q235B,,,,,,,,,,
板材,开平板,11,1260,6000,652.81 ,Q235B,,,,,,,,,,
板材,开平板,11,1500,6000,777.15 ,Q235B,,,,,,,,,,
板材,开平板,11.5,1260,6000,682.48 ,Q235B,,,,,,,,,,
板材,开平板,11.5,1500,6000,812.48 ,Q235B,,,,,,,,,,
板材,开平板,11.75,1260,6000,697.32 ,Q235B,,,,,,,,,,
板材,开平板,11.75,1500,6000,830.14 ,Q235B,,,,,,,,,,
板材,开平板,12,1260,6000,712.15 ,Q235B,,,,,,,,,,
板材,开平板,12,1500,6000,847.80 ,Q235B,,,,,,,,,,
板材,开平板,12.5,1260,6000,741.83 ,Q235B,,,,,,,,,,
板材,开平板,12.5,1500,6000,883.13 ,Q235B,,,,,,,,,,
板材,开平板,12.75,1260,6000,756.66 ,Q235B,,,,,,,,,,
板材,开平板,12.75,1500,6000,900.79 ,Q235B,,,,,,,,,,
板材,开平板,13,1260,6000,771.50 ,Q235B,,,,,,,,,,
板材,开平板,13,1500,6000,918.45 ,Q235B,,,,,,,,,,
板材,开平板,13.5,1260,6000,801.17 ,Q235B,,,,,,,,,,
板材,开平板,13.5,1500,6000,953.78 ,Q235B,,,,,,,,,,
板材,开平板,13.75,1260,6000,816.01 ,Q235B,,,,,,,,,,
板材,开平板,13.75,1500,6000,971.44 ,Q235B,,,,,,,,,,
板材,开平板,14,1260,6000,830.84 ,Q235B,,,,,,,,,,
